jurisdiction,district_number,district_name,total_party_votes,total_votes,fptp_winner,fptp_party,fptp_is_independent,rpv_winner,result_change,rpv_party
British Columbia,59015,Kootenay–Columbia,64965,64965,"Morrison, Rob",Conservative,False,"Stetski, Wayne",True,NDP-New Democratic Party
Alberta,48006,Calgary Forest Lawn,34648,34648,"Hallan, Jasraj Singh",Conservative,False,"Hallan, Jasraj Singh",False,Conservative
British Columbia,59019,New Westminster–Burnaby,49324,49324,"Julian, Peter",NDP-New Democratic Party,False,"Julian, Peter",False,NDP-New Democratic Party
British Columbia,59016,Langley–Aldergrove,62635,62635,"Van Popta, Tako",Conservative,False,"Van Popta, Tako",False,Conservative
Alberta,48018,Edmonton Riverbend,56928,56928,"Jeneroux, Matt",Conservative,False,"Jeneroux, Matt",False,Conservative
Alberta,48025,Lakeland,52651,52651,"Stubbs, Shannon",Conservative,False,"Stubbs, Shannon",False,Conservative
Alberta,48021,Edmonton–Wetaskiwin,86843,86843,"Lake, Mike",Conservative,False,"Lake, Mike",False,Conservative
Alberta,48010,Calgary Rocky Ridge,66084,66084,"Kelly, Pat",Conservative,False,"Kelly, Pat",False,Conservative
British Columbia,59006,Chilliwack–Hope,52160,52160,"Strahl, Mark",Conservative,False,"Pohl, DJ",True,NDP-New Democratic Party
British Columbia,59008,Coquitlam–Port Coquitlam,55716,55716,"McKinnon, Ron",Liberal,False,"Dupont, Laura",True,NDP-New Democratic Party
Alberta,48026,Lethbridge,57794,58973,"Harder, Rachael",Conservative,False,"Harder, Rachael",False,Conservative
British Columbia,59011,Delta,51926,52305,"Qualtrough, Carla",Liberal,False,"Qualtrough, Carla",False,Liberal
British Columbia,59030,South Surrey–White Rock,56905,56905,"Findlay, Kerry-Lynne",Conservative,False,"Findlay, Kerry-Lynne",False,Conservative
Alberta,48029,Red Deer–Mountain View,63022,63320,"Dreeshen, Earl",Conservative,False,"Lorencz, Kelly",True,People's Party - PPC
British Columbia,59026,Esquimalt–Saanich–Sooke,65542,65542,"Garrison, Randall",NDP-New Democratic Party,False,"Garrison, Randall",False,NDP-New Democratic Party
British Columbia,59010,Cowichan–Malahat–Langford,63032,63032,"MacGregor, Alistair",NDP-New Democratic Party,False,"MacGregor, Alistair",False,NDP-New Democratic Party
British Columbia,59012,Fleetwood–Port Kells,47039,47185,"Hardie, Ken",Liberal,False,"Hardie, Ken",False,Liberal
Alberta,48027,Medicine Hat–Cardston–Warner,48414,48414,"Motz, Glen",Conservative,False,"Motz, Glen",False,Conservative
British Columbia,59017,Mission–Matsqui–Fraser Canyon,43175,43175,"Vis, Brad",Conservative,False,"Vis, Brad",False,Conservative
Alberta,48033,Sturgeon River–Parkland,66476,66476,"Lloyd, Dane",Conservative,False,"Lloyd, Dane",False,Conservative
Alberta,48034,Yellowhead,50792,50792,"Soroka, Gerald",Conservative,False,"Manchen, Michael",True,People's Party - PPC
British Columbia,59037,North Island–Powell River,60263,60263,"Blaney, Rachel",NDP-New Democratic Party,False,"Blaney, Rachel",False,NDP-New Democratic Party
British Columbia,59035,Vancouver East,49591,49591,"Kwan, Jenny",NDP-New Democratic Party,False,"Kwan, Jenny",False,NDP-New Democratic Party
British Columbia,59021,North Vancouver,59320,59320,"Wilkinson, Jonathan",Liberal,False,"Wilkinson, Jonathan",False,Liberal
British Columbia,59023,Port Moody–Coquitlam,52091,52091,"Zarrillo, Bonita",NDP-New Democratic Party,False,"Zarrillo, Bonita",False,NDP-New Democratic Party
British Columbia,59040,Vancouver South,40283,40283,"Sajjan, Harjit S",Liberal,False,"Sajjan, Harjit S",False,Liberal
British Columbia,59028,Skeena–Bulkley Valley,37391,37391,"Bachrach, Taylor",NDP-New Democratic Party,False,"Bachrach, Taylor",False,NDP-New Democratic Party
British Columbia,59041,Victoria,66748,66748,"Collins, Laurel",NDP-New Democratic Party,False,"Loughton, Nick",True,Green Party
Yukon,60001,Yukon,16767,19406,"Hanley, Brendan",Liberal,False,"Dunlop, Barbara",True,Conservative
British Columbia,59031,Steveston–Richmond East,38949,38949,"Bains, Parm",Liberal,False,"Bains, Parm",False,Liberal
British Columbia,59033,Surrey–Newton,35982,36610,"Dhaliwal, Sukh",Liberal,False,"Dhaliwal, Sukh",False,Liberal
British Columbia,59024,Prince George–Peace River–Northern Rockies,49197,49197,"Zimmer, Bob",Conservative,False,"Zimmer, Bob",False,Conservative
British Columbia,59034,Vancouver Centre,51617,51617,"Fry, Hedy",Liberal,False,"Ouellette, Breen",True,NDP-New Democratic Party
Alberta,48031,St. Albert–Edmonton,62340,62340,"Cooper, Michael",Conservative,False,"Mpulubusi, Kathleen",True,NDP-New Democratic Party
British Columbia,59036,Vancouver Granville,49560,49560,"Noormohamed, Taleeb",Liberal,False,"Appadurai, Anjali",True,NDP-New Democratic Party
Alberta,48032,Sherwood Park–Fort Saskatchewan,71115,71398,"Genuis, Garnett",Conservative,False,"Genuis, Garnett",False,Conservative
British Columbia,59038,Vancouver Kingsway,40158,40158,"Davies, Don",NDP-New Democratic Party,False,"Davies, Don",False,NDP-New Democratic Party
